영화댓글
인생 영화 또 하나 탄생. 보고 나서 여운이 몇날 며칠은 갈 것 같은 영화. 마지막 라이언 고슬링과 엠마스톤의 눈빛이 모든 걸 말해주는.. 영화의 내용과 색감 음악 까지 완벽하게 어우러져서 보는 내내 힐링 되고 보고...
내 인생작이라 할만큼 재밌게봤음
남친있는 상태에서 남자주인공으로 환승 남주 꿈 존중하는 듯 하더니 은근슬적 압박줘서 남주가 하기싫은 일하게 되는데 성공하고 바쁘니 싸우고 집나옴 결국 남주가 여자주인공 꿈 이루게 도와줬는데 5년후 꿈이루고 돈많은 딴...
어떤 노래건 어색함이 없었던 음악영화. 한 해를 마무리하는 영화로 충분합니다.
아우치(vhfh****)
영화 영상미 음악은 좋았지만 스토리는 부진특히 극중 미아는 마음이 너무 헤퍼보인다. 첫 남친에게서 남주로 갈아타는 것도 바람난거고 주인공 덕분에 성공한건데 감사의 마음도 너무 적어보이고 인성이 별로다.성공하고 남자를...
뭐가 재밌다는 건지..여자 주인공 왤케 의리 없는지 이해 안 감..음악이랑 춤은 좋지만 스토리 라인이 너무 빈약;;;뮤직 비디오로 따로 편집해서 보면 좋을 듯합니다.와이프랑 중간에 졸기까지..이런 류 좋아하시는 분 ...
스피릿(spy_****)
어리버리(cos_****)
"처음에는 당황, 중간에는 만족, 끝에는 헐...흑흑 눈물이 나와버린 영화."
저랑은 안맞는영화인것같네요
어.... 왜 이게 인생영화라는건지 1도 모르겠어영ㅠ  노래도 좋긴한데 전체적으로 쫌 지겨운느낌..
제스타일의영화가아니였습니다
어지러운 시국에 이런 일탈이라도 필요하다
너무나도 평점이 좋은 영화여서 너무 기대를했지만 이렇게 지루하고 재미없는 영화는 처음이였다.중간에 영화를 그만보고 나가고 싶다는 생각을 하였고 영화보는내내 의자가 불편하고 딱딱한적은 처음이였다.전체적으로 너무 재미없...
저만 재미없나봐요 ;;
나는 개인적으로 별로 재미 없었어요....
10번 보면 10번 모두 다른 감동을 느낄 수 있을 거 같네요. 그런 의미에서 또 보러갑니다
대법관(rjaa****)
shel****
김수진(ksj0****)
31정승호(seun****)
Inss(leej****)
"평점보고  이 영화를  기대하며 보았지만  내용은  실망하기  딱  좋았고,  엔딩이 아주 허무하기  짝이  없었다.  중독성  있는  노래는 좋았지만  모든것이  아쉽고  잠자기 딱  좋다.  돈  낸게  아까워 ..."
살랑살랑(mmin****)
10점대준놈들은 양심도없다. 사운드 영상 화려한 껍데기만 그럴싸할뿐 스토리 씹진부 그자체. 반복된 우연으로 만나서 자기타입아니라고 으르렁대다 결국사랑에빠지고는 꿈은 간절히 꾸면 이루어진다고 정말 할리우드여배우가되는 ...
킹캉콩(kry0****)
낭만적인 사랑스런 영화입니다
이게 지루하다는 사람은 착각아닌 진짜 사랑이란걸 못했본 사람이고 꿈이란건 잠잘때만 꿔본 사람이다.
"평점이 너무 높아 실망한 영화.. 현대시대에 고전적 복고패션을, 판타지 뮤지컬에 로맨스를, 맘마미아에 노트북에 미드나잇 인더 파리를 짬뽕시킨 듯 한 영화..춤...다리가 쫙 안펴지면 어째 그냥 귀염..노래는 민망할 ..."
박유민(park****)
"엄마는 잠이 드셨고  재밌어야 하는데... 황홀 하댔는데... 인생영화,,, 너도 느끼란말야...!스스로 다그치고 주문을 걸다 끝나버린영화연기, 음악과 춤, 영상미,어느 포인트에도  동요하지 않는 마음에 당황했던 영..."
뚜오슈아이(duos****)
개봉 첫날 첫 상영을 본 보람이 있는 영화에요!!!보는내내 마법같은 영화에 푹 빠질 수 있었어요!!!한번보기에 아쉬운 영화라서 음향이 좋은 상영관에서 한번 더 봐야겠어요!!!
꿈에 대한 영화인지 사랑에 대한건지 애매모호함. 마지막에 남자의 상상신은 진짜 너무 남자를 비참하게 만들었음.
gg(skek****)
the end 영화가 끝나는 순간 일어나서 박수를 치고 싶었다
네모탐락(skyf****)
ily(thun****)
멋부리지 않고 순수한 마음 그대로를 잘 표현한 영화였다 집착이 아닌 각자의 성공을 진심으로 빌어주는 그마음이 참 보기 좋았다.섹스신이 없는것도 좋았고..
강의과단(gjk1****)
yhw4****
JH(beew****)
무명들풀(k000****)
stso****
쓰마일(hesu****)
시각 청각적으로 정말 즐거워요 그냥 구두 소리도 매우 좋아요 마지막 필름 부분 개쩜
CSH(wldy****)
김(epql****)
아 솔직히 저는 너무 지루하고 재미없었어요ㅜㅜ어떤부분이 맘에 안들었다 딱꼬집어 못말하겠는데 걍 이런장르를 싫어 하시는분은 안보시는것도..ㅎ
사과향비누(miny****)
"비긴어게인에 감히 갖다대지 말길 바람. 이 영화에 눈물 흘리는 사람들은 조건 더 좋은 남자에게 여친 뺏겨본 경험 있는 남자나, 만나던 남자 버리고 더 좋은 조건의 남자랑 결혼 한 여자일듯. 진심 올 해 나의 최악의 ..."
진짜 호불호 갈리는듯ㅠ 보가 중간에 나옴
어디서 감명을 받아야 하는지를 모르겠네. 꿈을 좇아라? 돈을 좇아라? 던지는 메시지도 없음. 남주가 불쌍하진 않지만 내가 남주라면 기분 씁쓸할듯. 그냥 밴드나 계속하지
시혜(wkrd****)
란동(tara****)
기대를많이해서구런지.. 솔직히별로
슈퍼에디(envy****)
별명뭐지(lmsm****)
"영화가 전달하고자 하는것이 무엇인가? 열정인가 사랑인가. 재즈인가 뮤지컬인가. 장면간의 흐름이 어색하고, 여주인공의 연기는 더 이상하다. 특히 홀로 노래할때 쏟아지는 졸음을 막을 길이 없음.  그래서 이 영화가 말하..."
마지막 라이언 고슬링의 표정은 잊을 수 없다...지금 내 곁에 있는 여자를 지캬내야겠다는굳은 의지로 쉽게 극장을 벗어날 수 없었던 영화.
잘생긴남자(seoh****)
알바를얼마나 썼으면 별점이 1점10점 인영화는 처음봤어요. 연출 분위기 괜찮은데 스토리와 계절로 나눴는데도 꽉차지 못한 느낌에 2시간이나 되면서 내용도 흐지부지 여자가 남자 세번갈아타면서 자기성공만 찾는 이기적인면을...
라빈(rhdm****)
김로이(lawl****)
쥬떼(jyjj****)
감성이 매말랐나봐요 별로요
잘잤습니다... 중간에 보다 나오기는 처음이네요..
지나치게 과대평가 되었다. 나쁘지는 않지만 역대 뮤지컬영화들에 비하면 그리 훌륭하지도 대단하지도 않다. 영화사에 길이 남을 명작은 절대 아니다. 헐리웃 배우들이 원색의 잔치속에서 노래하고 춤추면 다 걸작인가.  결정...
평점알바가 있을 것만같은 평점을 가진 영화. 연출이 좋다고하는데 외려 어지럽고 눈아팠음. 에세이를 영화한 느낌이자 하이스쿨 뮤지컬의 성인버전같았음. 춤추는 장면들이 어색하다고 느낌. Waste of time wast...
just****
음‥‥ 취향에 따라 다르겠지만 정말이지 지루함이 거의 끝판왕 수준이고 아무리 뮤지컬영화지만 시도때도없이 불러대는통에 흐름끊기고 메시지도 없고 결국 결말은 개떡 진짜 연인이랑 보든 부부가 보든 남자 입장에서 기분 더러...
도대체 무슨 영화인지 모르겠다 ... 정말 난해하고 무슨 스토리와 의미를 전달하고자 한것인지 ... ^^
강하다(g_hd****)
젬마(wani****)
sign(heal****)
나다나(qq33****)
도도리(petd****)
썽주(gaso****)
ji03****
권소희(mave****)
솔직히 태어나서 처음으로 영화보다가 나왔다. 내가 이상한가? 감동도 재미도 개연성도 없다. 최악이었다
아르샤(stea****)
역시 2번째 봤는데도 존잼
나임(s2lo****)
김지원(uhoo****)
이강산(1004****)
ANN(dkfm****)
제 스타일 영화는 아니었던거 같아요
Sugar Cane(apro****)
굿입니다오열자열자열
영상미.. 남자배우..등은 좋았으나..  감정이입이 되지 않았다.. 노래도 그렇고 전개가 매우 뜬금없고 지루했다..  중반이후에나 이야기가 전개되는 느낌을 받았고 보고나서 멍한 느낌밖에 없었다.. 제5침공인가.. 그...
무내(2stu****)
노잼그자체..평점 좋아서 봤드만
cafe AO(cafe****)
장성혁(aleh****)
pnny****
jood****
여하나(abca****)
rmsw****
오렌지하늘(wjdt****)
기대를 너무 많이해서인지 전 별로였어요. 개연성 떨어지고 스토리 진부하고..영상미가 그렇게 뛰어난 것 같지도 않고. 배우 연기와 메인노래 하나는 좋았네요.
내용이 산으로 갔다 바다로 갔다...
이카루스(jega****)
"세상의 모든 예술가, 사랑하는 연인들, 바보처럼 꿈꾸는 사람들, 현실에 지친 이들, 감성을 잃어가는 사람들을 위한 영화.지친 현실 속에서 머리로만 꿈꾸던 아름다움을 스크린에 담았다.뮤지컬에 대한 생각이 바뀌었다.너무..."
조현정(if10****)
개노잼인데 이게왜? ㅡㅡ 카페소사이어티랑 결말 똑같은데 훨씬 슬퍼할 당위성없고 그냥 씁쓸정도지 옆에서 훌쩍대는 인간들 이해를 못하겠던데 같이 함께할 기회가 얼마든지 있었는데 서로 갈길 가놓고 나중에 뭐 어쩌자는거지?...
취향이아니다ㅠㅠ노잼
노숙자(gold****)
여자친구는 숙면했고 저는 눈물흘리며 봤네요
안용민(sswd****)
파닥몬(whit****)
sinj****
구성점(trad****)
낭만몽상가(fjqm****)
뿌우(kjy9****)
공주(9015****)
정말 노잼...너무 지루했어요
저는 솔직히 별로 였어요
Dndb(tjsd****)
JLC(pssl****)
fobs(fobs****)
빽(thau****)
화학이(usyp****)
난 잘모르겠다...  호불호가 갈린다 넘재미없엇다
스포일러가 포함된 감상평입니다. 감상평 보기
bark****
서로가 없었다면 존재하지 않았을 현재. 비록 지금은 살아가는 길이 다르지만 그 과정 속에서 두 주인공은 서로를 잊지 않을 것이다.
zzz(kimn****)
만약 마지막이 해피하게 끝났으면 내마음속에선 이영화는 그저 그ㅡ런영화라고 생각하고 잊혀졋겠지만 영화의 마지막때문에 난 이영화를 3번이나 영화관가서 봄
yanz****
두번 봐도 아깝지 않을 영화.
생각보다 너무 별로....전개가....
인생최악... 집중도안되고 이게영화인지
예고편보고 기대했는데...
강민규(lucy****)
배고파여(rmsd****)
yves(yves****)
인생영화는 아니였음 나만그런가
밈지(8775****)
"현실적인 '척' 하는 비현실적인 영화 여주 캐릭터 매력없고 재즈피아노 좋아하는데 처음엔 좋았으나 너무 반복해서 나중엔 듣기 싫을정도 특히 스토리 혐 그렇다고 영상미,음악,뮤지컬,내용,연기 모 하나 뛰어..."
dans****
오징어칩(pgpa****)
조원영(dnjs****)
syb0****
kisa****
지루하고 생각보다 재미없었어요
색감이 이쁘다고 해서 봤는데 정말 색감만 이쁨 나랑 안맞는듯
난 정말 별루...내스타일이 아님
뻔한스토리. 지루함. Ost랑 엠마만 괜찮음
초콜렛(magi****)
열공모드(tlsw****)
잇힝(rvds****)
잭(dhks****)
졸렸어요... 생각보다 실망...
이렇게 재미없는 영화는 오랫만이다. 노래는 좋지만 그외에 모든게 글쎄.
실망 그자체 왜 평점이 높은지 솔직히 결말도 실망이고 0점 주고 싶네요 여자친구도 너무 재미 없다고 하네요.
음...주관적으로 봤을 떄 추천 하고 싶진 않음..
별루..별로야 진짜 그냥 구렸어..
Kwon(skyg****)
노래만 나오고 재미도 없고 끝도 허무
국고도리(gost****)
윤정하(ting****)
ekwn****
그냥 그래요. 스토리가 신통치 않음
와 정말 지루하고 졸린 영화...
졸음을 참아가면서 봄....와... 핵 노잼...
"진심... 궁금하신분들 금방 내릴거같으니 몇주만 참고 집에서 보세요이건뭐 뻔한 한국 재난영화 피했다가 제대로 똥밟았네요뭐 실험적인 예술영화 찍고싶은 감독의 의도로 나온 쓰레기..빙우,롤러코스터 이후로 진짜 오랜만에 ..."
진심보지마세요진심그냥무한도전보세요
기대하고갔는데 정말 별로였습니다내용도 딱히 탄탄하고 재밌는구성은아니구요좀 지루한? 영화가말하고자하는 메시지는 좋은데 재미없게봤습니다 약간어설픈것같은느낌도 들고 감동적인 장면은 별로 안감동적이예요. 엠마스톤은여전히매력...
이번년도 본 영화중 최악의 영화...
다시 돌아가 첫장면에 키스하는건 아직 전율..
구조는 느슨하고 전개도 재미없고 네티즌평보고 갔다가 급 실망...
개지루  겁나 잼없음  자다가 나옴
불호 노잼; 비추함;;
재즈가 싫어지는 영화. 정신없고 지루함
난난난(hsh9****)
영상미는 좋았으나 노잼
박우유(qkrr****)
재미도없고감동도없고밑도끝도없고뭥미
카루스(karo****)
재미없엉..ㅜㅜㅜㅜ
별로 재미없어요...
보랏(zldn****)
영상미가 제가 본 영화중 제일이였음...
올해최악의 영화네요. 10점준 리뷰들 다 알바인듯?
"재즈 완전조아하고 (음반수집), 감독 전작 위플래시 세번봤고, 일상생활에서 색감중요시 여기고, 뮤지컬 영화는 딱히 조아하진않지만.... 진짜 재미없다 졸다가 결국 도중하차함... 기대엄청하고 봤는데 영화의 메세지를 ..."
장친구(jang****)
sososong(kail****)
호이(whdd****)
지루하고 개연성없음...
이영화만든 새1끼 존ㄴ 때리고싶다오글거리고 뜬금없이 갑자기 왜춤추는지?재즈에대해 얘기하는데 이해하나도안가고자기들끼리 존나바쁘던데 무슨얘기를하는건지내머리가 나쁜건지 노래도별루고자고싶어도 스1바 존1나게 시끄러워서 잠도...
ㅆㅆㄹㄱ 영호ㅏ돈아깝다
보는 내내 졸리고 별루..
Gen(sun1****)
토옥(xhdh****)
첫장면부터 오글거리는 뮤지컬 클리셰 범벅~ 노래 자체도 별론데다가 배우들은 노래를 못함 심지어 탭댄스도 잘 못춤 와이어액션 보다가 헛웃음 나옴 ㅋㅋ 인간들이 개눈박이인건지 아님 후기 알바인건지 나원참 아무튼 지루해서...
핵전문(tpdu****)
"호불호가 매우 갈리는 영화.. 엄마는 영화같은 영화 한편 잘 봤다고 좋아하시고, 나는 두시간 내내 지루했다"
1점도 아깝다 시작하자마자 고속도로에서 OO하는거부터 노잼이라생각하고 30분보자마자 집가고싶어서안달낫음 엄마생신이라 가족끼리단체로보러갓는데 다들졸려죽을라고함 돈주고보기아까움 영상미좋다는거 몇분나옴ㅋㅋㅋㅋ 나올락말락하...
Beave(ljim****)
나나공주(kimy****)
망퉁이(addi****)
웅시기(toto****)
안될영화입니다보지마세여
"내 인생 손꼽히는 돈아까운 영화... 개연성도 없고, 진부하기 짝이 없고, 게다가 노래랑 춤도 별로라니;"
흠... 흔한 스토리에 특별할거 없는 음악... 무엇보다 엔딩이 ㅜㅜ
ㅋㅋㅋ(rlaw****)
"3년만에 다시 보니 새드엔딩이 아니었구나. 사랑은 져버렸지만 꿈은 이뤘고, 삶은 계속될 것이니"
평점 남긴 유일한 영화. 재미 1도없고 너무 늘어짐 게다가 어떤 부분이 슬프다는건지? 애기 나이보면 고슬링이랑 헤어지고 얼마 되지도 않아서 남편만든거 같은데 걍 스쳐지나간 인연을 너무 꿈처럼 그려놓음 결말 뭐 어쩌라...
CLYM(news****)
써니(hiph****)
기대 안 하고 봤는데 기대 이하
도대체 이게 평점이 높은 이유가 뭐지 내 마인드가 구닥다리인가 남친하고 한참 사귈때 미안하다하고 나가서 딴남자랑 키스하질 않나 꿈으로 포장해 바람을 정당화하고 그리고 무슨 사랑을 속삭이며 꿈때문에 헤어지고 5년뒤 애...
연금술사(alch****)
전형적인 코요테어글리식 신파극
이거를 도대체 왜보는건가요?
"한마디로 기대이하의 최악의 영화네요.네티즌 과 기자단 평점이 좋아서 기대하고 갔는데,줄거리가 너무 형편없어서 아주 실망했습니다. 추천하고 싶지않습니다."
이수진(popo****)
zzoo****
초코바(rusi****)
qwej****
soutely(penc****)
하도 재밌다고 주변에서 몇번이나 봤다길래 기대하고 봤는데;;  차라리 그냥 단순 로맨스 영화였다면 더 나았을지도;;;  여주인공 과한 클로즈업도 부담스럽고;;; 엠마왓슨이 안하길 잘한듯.... 오랫만에 뮤지컬 영화라...
hope(qlal****)
세미뉴오(semi****)
별로에요 힘들고 기빨려서 나왔어요
건축학개론 이후로 역대급 ㅆㄴ캐릭
마지막 장면에서 눈물이 많이 났습니다다. 만남과 이별을 해 본 사람들이라면 누구나 이해할듯 합니다...여운이 길게 남을 것 같습니다. 잘 봤습니다.
오프닝과 결말은 30년이 지나도 아주 선명하게 기억될 것 이다
최근경(love****)
마음이 아파서 두번은 못보겠네요
오윤희(jjjl****)
dzod(govl****)
또로로(iris****)
plus****
메르시몰리(merc****)
nul(llsz****)
cimo****
이봐개(inyh****)
박종헌(vnfm****)
이 영화는 재미가 없어요
억지로감정을끌어내려는영화같았다개연성도이상하고 우주에는갑자기왜뜨고지루하기짝이없던영화
누가 본다고하면 발목을 부셔서라도 말리고 싶다.
스포일러가 포함된 감상평입니다. 감상평 보기
특별한 사건없이 인생 편안하게 사는 인간들이 있어보이고 싶어서 극찬하는 최악의 영화 내가 웬만한 뮤지컬 영화는 단한번도 실망한 적이 없는데 와 뮤지컬 영화도 지루할 수도 있구나를 느낌 이 영화 왜 인기 있는지 정말 ...
세기의 졸작. 이쁠거라고 장담하면서 찍었을 듯한 장면 하나하나에서 영상미를 도저히 찾아볼 수 없을 지경이었고 70년대 싸구려 영화보다도 못한 연출이 없는 영상미를 더 줄여줌. 맨 처음 나온 뮤지컬 씬은 의도와 영상미...
바다때문야(ldkl****)
mkj1****
물결처럼(pjm9****)
pkju****
away****
"'난 뮤지컬영화야!' 라며 중구난방으로 막 튀어나오는 의미 없는 노래들 듣기 싫다. 분위기, 상황에 마춰서 나와줘야 돼지 멱따는 소리라도 들을수 있는데 노래가 좋던 잘부르던 상황에 맞지 않으니 듣기 싫..."
앤셜리(jins****)
전호석(luck****)
솔직히 재미가 없네요..
Nexen Heroes(chak****)
IKONIC(us03****)
Barbie(olee****)
1점도 아깝다 시작부터 몰입이 전혀 안됨 정말 중간에 너무나가고 싶었다. 이미 예정된 노래를 장면 중간중간 억지로 끼워 넣은 느낌. 인생 최악의 영화다 도저히 어느 부분에서 감동을 느끼고 놀라워야 하는지..높은 평점...
dnch****
와니(gags****)
nanapi(ierc****)
겸손(hbkb****)
필승이ㅡ마케팅(tprk****)
철권매니아(rkdg****)
음악(wnsg****)
스포일러가 포함된 감상평입니다. 감상평 보기
평범한 삶을 위해 매일 오디션 보는 우리를 위한 단 하나의 완벽한 헌정시
인위적이고 가식적이고 억지낭만같아요.음악 영상은 좋은데 영화 자체가 상업적이라 모순적이네요;;; 내용도 그걸로 갈등 ..스토리도 없고 걍 배우 영상 음악 빨인듯.. ;; 라이언고즐링 엠마왓슨 커플 크레이지 스투피드러...
돈워리비해피(jq95****)
웨이드샷(dplu****)
suga****
평점 갠적으로 이해가 안됩니다너무 재미없었거든요. 첫 고속도로 장면은 되게 좋았는데 그담부턴 이게 고문인가 싶을정도친구랑 저 1시간 잔것같습니다.문학적으로 휼륭하다고 할순 있겠지만 재밌는 영화 아닌듯.  기승전결에서...
뉴본(luvb****)
영화보다가 잠들긴 처음
지루함지루함개지루함
노잼핵노잼.주관적임
바둥바둥바둥(cost****)
"뻔한 스토리.  뻔한 영상.  감동 제로. 감동하라는 강압적 메시지. 감독 스스로 졸작임을 인정하고 폐기처분 안 했다니 놀랍다.  수상작?? 전문가들의 안목이 대단히 의심스러운,  5번 박차고 나오고싶었던 최악의 영..."
유미(jerr****)
"영화 자체는 잘 만들었는데 내용 측면에서 너무 취향이 아니었네요. 현실과 이상의 간극을 판타지처럼 풀어낸 건 좋았지만 판타지라기엔 너무 현실을 무겁게 다뤘고, 현실이라기엔 고민과 갈등을 너무 가볍게 다룬 점이 아쉬워..."
평생 소장할 뮤지컬 영화!로맨스를 기대하고 봤으나 삶에 대한 메세지가 더욱 강하게 느껴졌다.
너무너무 잘잤음 만원짜리 피로회복제 !
재미없음. 돈아깝고 시간아까움
형편없었음 결말 허무함
길지않지만 31년의 내인생 최고의영화
설태욱(stw3****)
캔디(alls****)
뮤지컬영화?ㅋㅋ 뮤지컬은 적어도 그 한정된 시간에 말하고자하는 바를 유기적으로 담는다. 하지만 이작품은 뮤지컬의 단점만 쏙쏙 뽑아만든 허섭OOO같다. 도대체 연출을 왜 그따위로 한거지. 유치한 스토리라인에 마지막 회...
몇년이 흐른뒤 재회하는 장면 최고임ㅠㅠ너무 멋진 남주인공 째즈 피아노 선율과 슬픈상상마지막 장면만 또 보고싶음
amol****
SK최정(elit****)
한여름(mind****)
gmld****
emma(sinj****)
_(uce1****)
프리(cycl****)
w_10****
그저쉬고싶습니다만(flor****)
John(well****)
양지연(tur1****)
귀비(yhn1****)
일점도 너무 아까워서 마이너스 있다면 마이너스 주고싶다. 내 인생 최악의 영화.... 일어나서 나가고 싶었던 최초의 영화시간이 너무 아깝고 이런걸 영화라고...진심 너무 화가난다.. 아오 짜증나;; 삼류도 못되는 영...
iilo****
VIP 무료영화권으로 봤는데 무료영화권조차 아까울정도로 쓰레기 영화. 노래는 마음에 들었지만 거지같은 연출때문인지 공감이나 몰입은 전혀 안되고.. 내용도 허세녀들만의 영화인듯 함. 꿈을 이루려고 노력한다는데 맨날 파...
진하(doan****)
y512****
유교탈레반(anon****)
바다(cucu****)
buss****
abcd(bosu****)
장은아(what****)
정민(wjda****)
jinjinjinjin(jind****)
282c****
이메디(toto****)
FM매니아(st00****)
좋수의견(cs79****)
dondon(dive****)
"음악, 스토리, 영상 다 좋았어요. 이렇게 입소문을 타고 인기가 생긴 이유는 저 같은 젊은 사람들의 공감이 크다고 생각해요. 20대 후반의 지나간 사랑, 미래의 불안감들은 저도 역시 가지고 있거든요. 잊을 때쯤에 다..."
hsle****
쩡아(hija****)
라니천사(aran****)
이민요(alsg****)
나옹씌(koj1****)
쁘미(lady****)
대구(suru****)
하양양갱(dlco****)
싼(ssan****)
꽁이맘(ooib****)
유캔캠(ever****)
박진(song****)
강나영(601a****)
kevi****
첫장면에서 도로에서 춤출때 이건 모지? 딱히 노래도춤도 구성도 별로.이게재밌어?!라고 물어봄. 지루한내용 정신을 잃고 졸다가나옴. 재밌다는평이 많던데 나만졸았나? 보니~ 관객반은 자고나온듯. 이거 추천한 지인이 밉다...
왕크(silv****)
alsw****
Vict(chan****)
트루벌드(jwj8****)
아구스타(sihu****)
유후(eun0****)
keun****
qogp****
jeon****
yjen****
이민혁(jade****)
나나나(phjh****)
syjeuion(7539****)
유시현(au02****)
진지(seon****)
"원스보다 몰입감이 없고, 위플래쉬보다 음악적이지 못하고, 맘마미아보다 리듬감이 뛰어나지도 않은 올해 최악의 영화. 탭댄스와 왈츠, 뮤지컬까지 감독이선택과 집중을 못하고  너무 많은 것을 대중들에게 보여주려고한 느낌...."
정예인(wlwh****)
박성균(rbs6****)
