일별,M001_한식,M002_일식/중식/양식,M003_제과/커피/패스트푸드,M004_기타요식,M005_유흥,M006_백화점,M007_할인점/슈퍼마켓,M008_편의점,M009_기타유통,M010_음/식료품,M011_의복/의류,M012_패션/잡화,M013_스포츠/문화/레저,M014_스포츠/문화/레저용품,M015_숙박,M016_여행,M017_미용서비스,M018_화장품,M019_서비스,M020_인테리어,M021_학원,M022_유아교육,M023_교육용품,M024_병원,M025_약국,M026_기타의료,M027_가전/가구,M028_자동차판매,M029_자동차서비스/용품,M030_주유
2019-02-01,3970 ,879 ,2238 ,3598 ,146 ,672 ,6988 ,5326 ,316 ,1842 ,321 ,135 ,1375 ,237 ,117 ,63 ,509 ,171 ,273 ,116 ,202 ,69 ,160 ,1841 ,1474 ,23 ,238 ,9 ,405 ,2233 
2019-02-02,3881 ,907 ,2324 ,3720 ,202 ,963 ,8423 ,4971 ,343 ,2378 ,446 ,167 ,1841 ,338 ,194 ,68 ,709 ,175 ,247 ,100 ,96 ,7 ,151 ,1261 ,1219 ,19 ,238 ,4 ,368 ,2198 
2019-02-03,3002 ,701 ,1967 ,3097 ,184 ,886 ,7989 ,4353 ,323 ,2223 ,315 ,101 ,1676 ,239 ,188 ,55 ,515 ,106 ,121 ,38 ,36 ,2 ,92 ,163 ,357 ,5 ,181 ,0 ,165 ,1602 
2019-02-04,2126 ,471 ,1950 ,2642 ,143 ,387 ,8320 ,4302 ,301 ,2387 ,294 ,82 ,1579 ,226 ,171 ,47 ,411 ,93 ,112 ,37 ,19 ,1 ,78 ,185 ,430 ,7 ,161 ,0 ,153 ,1849 
2019-02-05,1215 ,256 ,1591 ,2101 ,117 ,73 ,3721 ,4494 ,266 ,813 ,133 ,31 ,1310 ,122 ,136 ,46 ,137 ,41 ,75 ,9 ,9 ,1 ,27 ,88 ,149 ,3 ,94 ,0 ,114 ,1667 
2019-02-06,2410 ,628 ,1940 ,2911 ,134 ,774 ,5207 ,4221 ,487 ,781 ,340 ,113 ,1586 ,245 ,158 ,53 ,341 ,123 ,117 ,23 ,24 ,3 ,99 ,191 ,360 ,7 ,162 ,0 ,168 ,1661 
2019-02-07,3179 ,700 ,1959 ,2899 ,93 ,569 ,5216 ,4701 ,1502 ,848 ,269 ,130 ,1227 ,198 ,111 ,57 ,384 ,189 ,750 ,120 ,224 ,34 ,169 ,2046 ,1569 ,24 ,262 ,9 ,384 ,1842 
2019-02-08,3564 ,791 ,2075 ,3255 ,119 ,611 ,5464 ,4933 ,521 ,1026 ,275 ,130 ,1225 ,210 ,120 ,52 ,380 ,186 ,295 ,115 ,207 ,24 ,156 ,1765 ,1289 ,21 ,301 ,11 ,365 ,1896 
2019-02-09,3778 ,927 ,2316 ,3585 ,181 ,952 ,6474 ,4768 ,486 ,1184 ,408 ,162 ,1698 ,318 ,197 ,52 ,560 ,193 ,306 ,106 ,99 ,1 ,162 ,1200 ,1010 ,17 ,240 ,4 ,366 ,1927 
2019-02-10,3212 ,819 ,2096 ,3099 ,143 ,922 ,4713 ,4443 ,509 ,975 ,348 ,118 ,1523 ,269 ,172 ,56 ,477 ,148 ,162 ,38 ,50 ,1 ,128 ,130 ,233 ,5 ,179 ,0 ,200 ,1618 
