"상품군별","범위별",2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06 p),2021. 07 p)
"생활용품","전문몰",98229,92281,100581,94249,93610,90078,85845,91226,108922,88674,103135,100742,105696,97515,111624,101761,98733,91144,95018,89661,91059,105703,100889,99853,105959,91636,109571,106107,102445,96378,101883,106772,111487,107526,109555,109994,108605,110505,124156,124443,128570,131727,115891,115539,131661,116757,130393,134986,126272,110392,126766,118712,129308,143452,183536
"자동차 및 자동차용품","계",80144,76677,81297,80513,87211,88191,94244,92700,86998,80475,89567,85223,77220,65502,83898,82601,84011,81252,91030,84879,78457,88244,98099,94668,96468,79857,106893,97417,106336,98707,97304,112212,169793,106702,159418,115796,114215,161620,212138,133993,143859,261466,158878,203186,218132,153457,217731,205792,155503,155470,350815,183025,403184,520183,170584
"자동차 및 자동차용품","종합몰",72567,69152,72947,72551,78183,79270,83033,83371,78284,72515,79295,74570,71246,59965,76393,76447,77780,74326,83758,77524,71232,81228,85205,85107,89706,72979,94899,90522,95477,88243,88350,90930,150954,94622,97218,96634,91948,109912,123775,121979,133705,137202,146862,136197,140807,131934,182332,186677,144807,125063,146659,167022,168243,169079,155782
"자동차 및 자동차용품","전문몰",7577,7525,8350,7962,9028,8921,11211,9329,8714,7960,10272,10653,5974,5537,7505,6154,6231,6926,7272,7355,7225,7016,12894,9561,6762,6878,11994,6895,10859,10464,8954,21282,18839,12080,62200,19162,22267,51708,88363,12014,10154,124264,12016,66989,77325,21523,35399,19115,10696,30407,204156,16003,234941,351104,14802
"가구","계",188602,219176,240688,206024,201440,203584,211657,226983,227801,223084,242170,220685,251892,241563,277056,260782,254665,243327,247840,244396,242257,296675,295741,280075,284702,273700,309508,288266,289865,274041,266896,279352,291520,324803,329462,323767,300510,368120,439763,409455,407121,404547,390038,414350,452577,456300,453800,497857,491332,451537,520424,468065,455082,448509,446650
"가구","종합몰",156532,182747,199984,171914,171363,172701,181401,194140,192992,191989,208410,189116,217595,208862,239571,227028,223364,213403,219507,215555,214698,259024,258019,240453,240032,237189,269567,249753,251021,233412,226970,241237,255817,283872,287279,280163,261523,323582,389896,358532,356709,351328,338203,363332,395422,400401,398406,436351,423878,390444,450754,400870,396302,389873,387460
"가구","전문몰",32070,36429,40704,34110,30077,30883,30256,32843,34809,31095,33760,31569,34297,32701,37485,33754,31301,29924,28333,28841,27559,37651,37722,39622,44670,36511,39941,38513,38844,40629,39926,38115,35703,40931,42183,43604,38987,44538,49867,50923,50412,53219,51835,51018,57155,55899,55394,61506,67454,61093,69670,67195,58780,58636,59190
"애완용품","계",53096,62005,65265,59383,56112,56092,58500,60590,66077,64491,72675,62280,72178,60944,68634,70338,69233,75126,75847,71481,66227,69666,68301,68077,72818,65332,73144,75924,77463,77825,77944,77351,82670,88768,86415,87025,85140,85799,91554,90923,91046,88564,96855,93103,96358,100676,100832,108765,104957,93679,105400,102033,105787,106002,108191
"애완용품","종합몰",38440,48363,50879,45178,41468,41433,43816,46175,51449,50183,57898,48008,57236,47728,54690,56127,55227,61497,62196,58059,54144,55620,55778,55407,59833,51946,59227,61405,63024,64891,64592,63553,66647,72501,71480,71368,72706,74058,78634,78288,79516,76963,84941,81577,84020,87147,88140,94824,92416,82075,93144,90809,94485,93986,95792
"애완용품","전문몰",14656,13642,14386,14205,14644,14659,14684,14415,14628,14308,14777,14272,14942,13216,13944,14211,14006,13629,13651,13422,12083,14046,12523,12670,12985,13386,13917,14519,14439,12934,13352,13798,16023,16267,14935,15657,12434,11741,12920,12635,11530,11601,11914,11526,12338,13529,12692,13941,12541,11604,12256,11224,11302,12016,12399
"여행 및 교통서비스","계",1215463,1110440,1072596,1134841,1181895,1210908,1379402,1406339,1222948,1207513,1157662,1278343,1491434,1246049,1264187,1320458,1429210,1413924,1568131,1560063,1265599,1329206,1296434,1396719,1538638,1417432,1379761,1395058,1489894,1483712,1651491,1692768,1370146,1486653,1497585,1619104,1566484,707906,327756,442282,565043,607339,805709,796217,554628,690384,696532,474443,498544,575674,622410,697954,793773,819921,822457
"여행 및 교통서비스","종합몰",321684,272058,241165,281224,291793,327154,381031,366389,279835,277425,270651,323468,345332,285742,268504,313299,342957,372593,431726,415017,313755,322039,306125,330109,368456,337784,322386,321195,351780,363143,408124,370650,285209,298475,312162,322908,313068,118380,63147,58490,82463,82633,116723,125288,66023,99537,107605,55414,60679,81159,88582,101367,120985,116652,116003
"여행 및 교통서비스","전문몰",893779,838382,831431,853617,890102,883754,998371,1039950,943113,930088,887011,954875,1146102,960307,995683,1007159,1086253,1041331,1136405,1145046,951844,1007167,990309,1066610,1170182,1079648,1057375,1073863,1138114,1120569,1243367,1322118,1084937,1188178,1185423,1296196,1253416,589526,264609,383792,482580,524706,688986,670929,488605,590847,588927,419029,437865,494515,533828,596587,672788,703269,706454
"문화 및 레저서비스","계",164254,123892,138133,119599,133785,144311,151647,184883,127031,179505,145082,207050,182387,151838,171416,164965,153740,169621,164228,213527,183281,186480,187011,196749,167713,182936,176085,200034,204178,248326,215929,220069,166651,206700,206813,184605,163257,65598,37504,47288,75411,71150,100756,81853,62151,102261,71956,13390,34316,76700,87044,87990,100946,126718,89681
"문화 및 레저서비스","종합몰",85512,74093,90719,76449,65767,89547,80678,84701,77623,98821,106177,123824,104882,90887,115633,79720,72724,92827,73594,83447,93017,112789,112801,104796,81403,68241,82529,86424,82340,98212,74563,80794,74911,97841,95627,84016,78880,29168,12779,19782,39790,25839,49662,22487,18647,47627,43233,9187,21001,45995,49245,46775,49242,62976,37634
"문화 및 레저서비스","전문몰",78742,49799,47414,43150,68018,54764,70969,100182,49408,80684,38905,83226,77505,60951,55783,85245,81016,76794,90634,130080,90264,73691,74210,91953,86310,114695,93556,113610,121838,150114,141366,139275,91740,108859,111186,100589,84377,36430,24725,27506,35621,45311,51094,59366,43504,54634,28723,4203,13315,30705,37799,41215,51704,63742,52047
