일별,성별,연령대별,업종,카드이용건수(천건),Unnamed: 5,Unnamed: 6,Unnamed: 7
20190204,F,40대,M001_한식,189.7,,,
20190204,F,50대,M001_한식,157.2,,,
20190204,F,60대,M001_한식,51.4,,,
20190204,F,70대,M001_한식,14.2,,,
20190204,M,20대,M001_한식,285.0,,,
20190204,M,30대,M001_한식,332.6,,,
20190204,M,40대,M001_한식,332.2,,,
20190204,M,50대,M001_한식,284.4,,,
20190204,M,60대,M001_한식,108.7,,,
20190204,M,70대,M001_한식,29.6,,,
20190205,F,20대,M001_한식,110.7,,,
20190205,F,30대,M001_한식,100.5,,,
20190205,F,40대,M001_한식,105.8,,,
20190205,F,50대,M001_한식,84.4,,,
20190205,F,60대,M001_한식,25.9,,,
20190205,F,70대,M001_한식,6.6,,,
20190205,M,20대,M001_한식,178.0,,,
20190205,M,30대,M001_한식,205.0,,,
20190205,M,40대,M001_한식,184.4,,,
20190205,M,50대,M001_한식,148.0,,,
20190205,M,60대,M001_한식,52.5,,,
20190205,M,70대,M001_한식,11.7,,,
20190206,F,20대,M001_한식,227.0,,,
20190206,F,30대,M001_한식,194.7,,,
20190206,F,40대,M001_한식,220.8,,,
20190206,F,50대,M001_한식,167.9,,,
20190206,F,60대,M001_한식,56.3,,,
20190206,F,70대,M001_한식,14.0,,,
20190206,M,20대,M001_한식,336.2,,,
20190206,M,30대,M001_한식,366.2,,,
20190206,M,40대,M001_한식,374.7,,,
20190206,M,50대,M001_한식,302.1,,,
20190206,M,60대,M001_한식,118.3,,,
20190206,M,70대,M001_한식,31.9,,,
20190207,F,20대,M001_한식,324.7,,,
20190207,F,30대,M001_한식,277.8,,,
20190207,F,40대,M001_한식,310.7,,,
20190207,F,50대,M001_한식,227.3,,,
20190207,F,60대,M001_한식,75.2,,,
20190207,F,70대,M001_한식,20.4,,,
20190207,M,20대,M001_한식,411.5,,,
20190207,M,30대,M001_한식,470.8,,,
20190207,M,40대,M001_한식,486.4,,,
20190207,M,50대,M001_한식,376.2,,,
20190207,M,60대,M001_한식,150.4,,,
20190207,M,70대,M001_한식,48.3,,,
20190208,F,20대,M001_한식,353.9,,,
20190208,F,30대,M001_한식,317.5,,,
20190208,F,40대,M001_한식,368.4,,,
20190208,F,50대,M001_한식,262.7,,,
20190208,F,60대,M001_한식,86.9,,,
20190208,F,70대,M001_한식,23.7,,,
20190208,M,20대,M001_한식,441.7,,,
20190208,M,30대,M001_한식,515.5,,,
20190208,M,40대,M001_한식,545.5,,,
20190208,M,50대,M001_한식,425.1,,,
20190208,M,60대,M001_한식,167.3,,,
20190208,M,70대,M001_한식,53.6,,,
20190209,F,20대,M001_한식,350.8,,,
20190209,F,30대,M001_한식,316.9,,,
20190209,F,40대,M001_한식,385.3,,,
20190209,F,50대,M001_한식,273.8,,,
20190209,F,60대,M001_한식,93.0,,,
20190209,F,70대,M001_한식,25.0,,,
20190209,M,20대,M001_한식,475.3,,,
20190209,M,30대,M001_한식,557.6,,,
20190209,M,40대,M001_한식,597.3,,,
20190209,M,50대,M001_한식,466.3,,,
20190209,M,60대,M001_한식,180.8,,,
20190209,M,70대,M001_한식,56.2,,,
20190210,F,20대,M001_한식,307.0,,,
20190210,F,30대,M001_한식,260.5,,,
20190210,F,40대,M001_한식,308.0,,,
20190210,F,50대,M001_한식,234.1,,,
20190210,F,60대,M001_한식,81.1,,,
20190210,F,70대,M001_한식,21.1,,,
20190210,M,20대,M001_한식,435.0,,,
20190210,M,30대,M001_한식,467.8,,,
20190210,M,40대,M001_한식,492.6,,,
20190210,M,50대,M001_한식,394.2,,,
20190210,M,60대,M001_한식,160.5,,,
20190210,M,70대,M001_한식,48.6,,,
20190211,F,20대,M001_한식,337.1,,,
20190211,F,30대,M001_한식,286.7,,,
20190211,F,40대,M001_한식,342.9,,,
20190211,F,50대,M001_한식,261.4,,,
20190211,F,60대,M001_한식,92.1,,,
20190211,F,70대,M001_한식,25.5,,,
20190211,M,20대,M001_한식,416.1,,,
20190211,M,30대,M001_한식,460.9,,,
20190211,M,40대,M001_한식,484.7,,,
20190211,M,50대,M001_한식,395.5,,,
20190211,M,60대,M001_한식,166.1,,,
20190211,M,70대,M001_한식,56.9,,,
20190212,F,20대,M001_한식,338.9,,,
20190212,F,30대,M001_한식,302.9,,,
20190212,F,40대,M001_한식,370.9,,,
20190212,F,50대,M001_한식,282.7,,,
20190212,F,60대,M001_한식,99.7,,,
20190212,F,70대,M001_한식,27.6,,,
20190212,M,20대,M001_한식,417.0,,,
20190212,M,30대,M001_한식,477.0,,,
20190212,M,40대,M001_한식,517.5,,,
20190212,M,50대,M001_한식,421.1,,,
20190212,M,60대,M001_한식,177.1,,,
20190212,M,70대,M001_한식,60.9,,,
20190213,F,20대,M001_한식,342.9,,,
20190213,F,30대,M001_한식,313.4,,,
20190213,F,40대,M001_한식,381.1,,,
20190213,F,50대,M001_한식,287.5,,,
20190213,F,60대,M001_한식,99.6,,,
20190213,F,70대,M001_한식,28.3,,,
20190213,M,20대,M001_한식,425.1,,,
20190213,M,30대,M001_한식,492.5,,,
20190213,M,40대,M001_한식,533.6,,,
20190213,M,50대,M001_한식,433.4,,,
20190213,M,60대,M001_한식,179.1,,,
20190213,M,70대,M001_한식,60.9,,,
20190214,F,20대,M001_한식,349.2,,,
20190214,F,30대,M001_한식,326.5,,,
20190214,F,40대,M001_한식,397.2,,,
20190214,F,50대,M001_한식,294.6,,,
20190214,F,60대,M001_한식,100.1,,,
20190214,F,70대,M001_한식,29.5,,,
20190214,M,20대,M001_한식,433.0,,,
20190214,M,30대,M001_한식,500.2,,,
20190214,M,40대,M001_한식,545.1,,,
20190214,M,50대,M001_한식,440.2,,,
20190214,M,60대,M001_한식,181.9,,,
20190214,M,70대,M001_한식,61.2,,,
20190215,F,20대,M001_한식,357.9,,,
20190215,F,30대,M001_한식,344.9,,,
20190215,F,40대,M001_한식,421.8,,,
20190215,F,50대,M001_한식,300.3,,,
20190215,F,60대,M001_한식,102.0,,,
20190215,F,70대,M001_한식,27.1,,,
20190215,M,20대,M001_한식,450.8,,,
20190215,M,30대,M001_한식,542.4,,,
20190215,M,40대,M001_한식,595.9,,,
20190215,M,50대,M001_한식,467.7,,,
20190215,M,60대,M001_한식,187.1,,,
20190215,M,70대,M001_한식,58.2,,,
20190216,F,20대,M001_한식,360.0,,,
20190216,F,30대,M001_한식,341.7,,,
20190216,F,40대,M001_한식,421.6,,,
20190216,F,50대,M001_한식,300.3,,,
20190216,F,60대,M001_한식,104.7,,,
20190216,F,70대,M001_한식,27.8,,,
20190216,M,20대,M001_한식,492.3,,,
20190216,M,30대,M001_한식,589.0,,,
20190216,M,40대,M001_한식,642.6,,,
