,시설명,전체주소
338,미동A경로당,서울시 서대문구 충정로3가 189
339,서북경로당,서울시 서대문구 북아현동 196-5
340,능안경로당,서울시 서대문구 북아현동 1-251
341,천연동 분회경로당,서울시 서대문구 냉천동 31-2
342,동부A경로당,서울시 서대문구 냉천동 260
343,삼호A경로당,서울시 서대문구 영천동 163
344,독립문극동A경로당,서울시 서대문구 현저동 201
345,독립문극동임대A경로당,서울시 서대문구 현저동 201
346,독립문파크빌A경로당,서울시 서대문구 현저동 1019
347,무악경로당,서울시 서대문구 현저동 1-211
348,천연뜨란채A경로당,서울시 서대문구 천연동 145
349,북아현동경로당,서울시 서대문구 북아현동 129-37
350,두산A경로당,서울시 서대문구 북아현동 1009
351,대신경로당,서울시 서대문구 대현동 90-17
352,신촌경로당,서울시 서대문구 신촌동 1-219
353,럭키A경로당,서울시 서대문구 대현동 61
354,창천경로당,서울시 서대문구 창천동 57-18
355,연서경로당,서울시 서대문구 연희동 519-127
356,임광A경로당,서울시 서대문구 연희동 783
357,연궁경로당,서울시 서대문구 연희동 196-19
358,홍연경로당,서울시 서대문구 연희동 715
359,우국한마음A경로당,서울시 서대문구 연희동 743
360,연희궁경로당,서울시 서대문구 연희동 339-72
361,연산경로당,서울시 서대문구 연희동 51-14
362,대림A경로당,서울시 서대문구 연희동 700
363,연희대우A경로당,서울시 서대문구 연희동 739
364,연희성원A경로당,서울시 서대문구 연희동 740
365,홍제1동분회경로당,서울시 서대문구 홍제1동 157-92
366,남양A경로당,서울시 서대문구 홍제1동 457
367,고은경로당,서울시 서대문구 홍제1동 449-1
368,현대A경로당,서울시 서대문구 홍제1동 331
369,초원경로당,서울시 서대문구 홍제1동 335-9
370,안산경로당,서울시 서대문구 홍제1동 44-456
371,삼성래미안A경로당,서울시 서대문구 홍제1동 461
372,홍제한양A경로당,서울시 서대문구 홍제1동 82
373,무악재한화A경로당,서울시 서대문구 홍제1동 464
374,인왕경로당,서울시 서대문구 홍제2동 23-9
375,무악청구A경로당,서울시 서대문구 홍제2동 453
376,인왕산현대A경로당,서울시 서대문구 홍제2동 460
377,인왕산현대임대A경로당,서울시 서대문구 홍제2동 460-1
378,홍제원현대A경로당,서울시 서대문구 홍제2동 459
379,홍제원현대임대A경로당,서울시 서대문구 홍제2동 459-1
380,인왕산어울림A경로당,서울시 서대문구 홍제2동 467
381,홍제3동분회경로당,서울시 서대문구 홍제3동 7-13
382,현대그린A경로당,서울시 서대문구 홍제3동 455
383,개미마을경로당,서울시 서대문구 홍제3동 산1-100
384,유원하나임대A경로당,서울시 서대문구 홍제3동 454
385,유원하나A경로당,서울시 서대문구 홍제3동 454
386,태영으뜸A경로당,서울시 서대문구 홍제3동 373
387,상계신동아아파트경로당,서울시 노원구 상계동 133-163~4
388,금호타운아파트경로당,서울시 노원구 상계동 1270
389,미도아파트경로당,서울시 노원구 상계동 766
390,주공4단지(아),서울시 도봉구 창1동 380
391,상아1차(아),서울시 도봉구 창5동 299
392,상아2차(아),서울시 도봉구 창5동 300
393,신도브래뉴(아),서울시 도봉구 창5동  820
394,금호어울림(아),서울시 도봉구 창5동 823
395,북한산아이파크(아),서울시 도봉구  창5동 825
396,서원,서울시 도봉구 도봉1동 567-5
397,안골,서울시 도봉구 도봉1동 349
398,도봉산,서울시 도봉구 도봉1동 286-1
399,가든(아),서울시 도봉구 도봉1동 555
400,오  봉,서울시 도봉구 도봉1동 619-10
401,도  봉,서울시 도봉구 도봉2동 625-109
402,극동(아),서울시 도봉구 도봉2동 81-1
403,초안1단지경로당,서울시 노원구 월계동 923
404,월계흥화브라운빌경로당,서울시 노원구 월계동 939
405,청백3단지경로당,서울시 노원구 월계동 780
406,삼미아파트경로당,서울시 노원구 월계동 13  (월계시영고층아파트)
407,서광아파트경로당,서울시 노원구 월계동 922
408,그랑빌아파트경로당,서울시 노원구 월계동 18
409,인덕경로당,서울시 노원구 월계동 633-116
410,연촌경로당,서울시 노원구 월계동 376-31
411,벼루마을경로당,서울시 노원구 월계동 534-156
412,사슴1단지경로당,서울시 노원구 월계동 321 노원1복지관내
413,월계동원베네스트경로당,서울시 노원구 월계동 940
414,성북역신도브래뉴경로당,서울시 노원구 월계동 941
415,공릉1동경로당,서울시 노원구 공릉동 569-21
416,공릉1동현대아파트경로당,서울시 노원구 공릉동 590-1
417,공릉1동 대동아파트경로당,서울시 노원구 공릉동 604-11
418,공릉우성아파트경로당,서울시 노원구 공릉동 738
419,신원아파트경로당,서울시 노원구 공릉동 370-4
420,공릉2동경로당,서울시 노원구 공릉동 334-6
421,효성아파트경로당,서울시 노원구 공릉동 742
422,성우아파트경로당,서울시 노원구 공릉동 401-1
423,공릉한보아파트경로당,서울시 노원구 공릉동 208-3
424,태강아파트경로당,서울시 노원구 공릉동 81
425,주공1단지경로당,서울시 노원구 상계동 767
426,주공2단지경로당,서울시 노원구 상계동 740
427,주공3단지경로당,서울시 노원구 상계동 737
428,상계마들아파트경로당,서울시 노원구 상계동 771-3
429,주공4단지경로당,서울시 노원구 상계동 751-1
430,주공5단지경로당,서울시 노원구 상계동 721
431,주공6단지경로당,서울시 노원구 상계동720
432,한양아파트경로당,서울시 노원구 상계동 757
433,주공10단지경로당,서울시 노원구 상계동 666
434,주공11단지경로당,서울시 노원구 상계동 652
435,주공15단지경로당,서울시 노원구 상계동 624
436,주공16단지경로당,서울시 노원구 상계동 624
437,주공12단지경로당,서울시 노원구 상계동 647
438,주공13단지경로당,서울시 노원구 상계동 647
439,보람아파트경로당,서울시 노원구 상계동 685
440,마곡수명산파크 1단지(아),서울시 강서구 발산1동 발산택지개발지구
441,마곡수명산파크 2단지(아),서울시 강서구 발산1동 발산택지개발지구
442,마곡수명산파크 3단지(아),서울시 강서구 발산1동 발산택지개발지구
443,신동아@,서울시 동작구 본동 481
444,한신휴플러스@,서울시 동작구 본동487
445,본동삼성래미안@,서울시 동작구 본동492
446,한신휴플러스101동@,서울시 동작구 본동488
447,극동강변@,서울시 동작구 본동148-2
448,본동 SH-Ville@,서울시 동작구 본동 490
449,흑석1동,서울시 동작구 흑석동 181-23
450,우리유앤미@,서울시 동작구 흑석동329
451,동양@,서울시 동작구 흑석동 328
452,달마,서울시 동작구 흑석동 256-1
453,흑석2동,서울시 동작구 흑석동 295-2
454,한강현대@,서울시 동작구 흑석동 28
455,명수대@,서울시 동작구 흑석동 10
456,흑석3동,서울시 동작구 흑석동 64-13
457,송림,서울시 동작구 흑석동 327청호
458,배나무골,서울시 동작구 사당동 77-24
459,신동아@,서울시 동작구 사당동105
460,동작,서울시 동작구 동작동 100-12
461,사당신동아5단지@,서울시 동작구 사당동 1137
462,송학,서울시 동작구 사당1동 1027-23
463,사당1동,서울시 동작구 사당1동 316-40
464,르메이에르타운@,서울시 동작구 사당1동 1141
465,남성,서울시 동작구 사당2동 708-490
466,우성2단지@,서울시 동작구 사당2동 105
467,우성3단지@,서울시 동작구 사당2동 105
468,극동@,서울시 동작구 사당2동 105
469,삼화,서울시 동작구 사당3동 1131-13
470,삼익,서울시 동작구 사당3동 1132
471,삼일공원,서울시 동작구 사당3동 산24-17
472,대림@,서울시 동작구 사당3동 169-8
473,현대@,서울시 동작구 사당3동 169-32
474,대아@,서울시 동작구 사당3동 1134
475,동작삼성래미안@,서울시 동작구 사당3동 1133
476,사당2차롯데낙천대@,서울시 동작구 사당3동 1149
477,사당4동,서울시 동작구 사당4동 278-34
478,삼익그린뷰@,서울시 동작구 사당4동 1150
479,시 영 아 파 트,서울시 양천구 신월동987-1
480,9단지,서울시 양천구 신정1동312
481,10단지,서울시 양천구 신정1동311
482,단 산,서울시 양천구 신정동296-119
483,유 원 아 파 트,서울시 양천구 신정동87-39
484,쌍 용 아 파 트,서울시 양천구 신정동335
485,청 구 아 파 트,서울시 양천구 신정동336
486,삼성제1아파트,서울시 양천구 신정동1278
487,우성1단지,서울시 양천구 신정7동337
488,래미안1단지,서울시 양천구 신정7동1295-4
489,염     창,서울시 강서구 염창동 183
490,염창삼성하나로 (아),서울시 강서구 염창동 248-3
491,태진한솔 (아),서울시 강서구 염창동 263
492,상 록,서울시  광장동570
493,신동아 (아),서울시 강서구 염창동 289
494,우성3차 (아),서울시 강서구 염창동 272-28
495,관음삼성  (아),서울시 강서구 염창동 268
496,염창청솔 (아),서울시 강서구 염창동 292
497,동아 3차 (아),서울시 nan 염창동 258-1
498,금호타운 (아),서울시 강서구 염창동 240-32
499,무      학 (아),서울시 강서구 염창동 255
500,염창강변성원 (아),서울시 강서구 염창동 295
501,강변한솔솔파크(아),서울시 강서구 염창동 300
502,삼성(아),서울시 영등포구 신길동 4759
503,벽산(아),서울시 영등포구 양평2가 23
504,신동아(아),서울시 영등포구 대림동 777-1
