,시설명,전체주소
1458,독산3동 문성,서울시 금천구 독산동 980-44
1459,대우 푸르지오,서울시 영등포구 영등포동 647-1
1460,두산위브,서울시 영등포구 영등포동 649
1461,당산한강(아),서울시 영등포구 당산동4가 29
1462,구립 모랫말,서울시 영등포구  도림동 205-23외3
1463,현대2차(아),서울시 영등포구 대림동 785
1464,한신(아),서울시 영등포구 양평5가 76
1465,거성파스텔(아),서울시 영등포구 양평3가 90-1
1466,삼호한숲(아),서울시 영등포구 양평4가 94
1467,동양(아),서울시 영등포구 양평6가 100
1468,구립창신,서울시 영등포구 신길동 89-197
1469,건영(아),서울시 영등포구 신길동 368
1470,신성 ,서울시 영등포구 신길동 3391
1471,보라매두산위브(아),서울시 영등포구 신길동 4497
1472,구립신길7 제2,서울시 영등포구 신길동 2057
1473,구립대림1 ,서울시 영등포구 대림동 899-2
1474,대림1동분회,서울시 영등포구 대림동 867-5
1475,현대(아),서울시 영등포구 양평3가 79-4
1476,대림1동한신(아),서울시 영등포구 대림동 887-1
1477,구립대림2  ,서울시 영등포구 대림동 832-2
1478,대림2동 제2,서울시 영등포구 대림동 703-6
1479,대림2동 제3,서울시 영등포구 대림동 1025-66
1480,문화칸타빌레(아),서울시 영등포구 대림동 1061
1481,중앙시장1길,서울시 영등포구 대림동 1071-14
1482,구립동심 ,서울시 영등포구 대림동 742
1483,구립원지,서울시 영등포구 대림동 690
1484,구립신우,서울시 영등포구 대림동657
1485,구립대림3동,서울시 영등포구 대림동 791-2
1486,우성(아),서울시 영등포구 신길동 170-7
1487,신동아(아),서울시 영등포구 양평1가 20
1488,현대2차(아),서울시 영등포구 문래동6가 45
1489,현대칼(아),서울시 영등포구 대림동 785-1
1490,현대3차(아),서울시 영등포구 문래동5가 21
1491,대림코오롱(아),서울시 영등포구 대림동 607-1
1492,대림성원(아),서울시 영등포구 대림동 650
1493,대한,서울시 동작구 노량진1동 84-33
1494,우성@,서울시 동작구 노량진1동 323
1495,신동아 리버@,서울시 동작구 노량진1동325
1496,신동아 우리@,서울시 동작구 노량진1동 327
1497,삼익@,서울시 동작구 노량진1동 330
1498,한진(아)제2,서울시 성동구 행당동 328-1
1499,금강,서울시 성동구 금호동4가 1168-1
1500,중 앙,서울시  신월2동  509-14
1501,금호브라운스톤(아),서울시 성동구 금호동4가 1507
1502,매    봉,서울시 성동구 옥수동 553-24
1503,옥수삼성(아),서울시 성동구 옥수동 250 삼성@
1504,장    미,서울시 성동구 성수동1가 656-235
1505,동아(아),서울시 성동구 성수동1가 656-320
1506,성    일,서울시 성동구 성수동1가 630-4
1507,성수현대그린(아),서울시 성동구 성수동1가 33-2
1508,강변건영(아),서울시 성동구 성수동1가 710
1509,한강한신(아),서울시 성동구 성수동2가 442
1510,강변임광(아),서울시 성동구 성수동2가 609-2
1511,두산위브(아),서울시 성동구 성수동2가 838
1512,성    삼,서울시 성동구 성수동2가 299-240
1513,경동할머니,서울시 성동구 성수동2가 302-20
1514,경    동 ,서울시 성동구 성수동2가 301-27
1515,금호(아),서울시 성동구 성수동2가 832
1516,성수1차대우(아),서울시 성동구 성수동2가 297-50
1517,성수2차 우방(아),서울시 성동구 성수동2가 286
1518,성수아이파크(아),서울시 성동구 성수동2가 834
1519,성수롯데캐슬파크(아),서울시 성동구 성수동2가 835
1520,금강에스쁘아,서울시 성동구 성수동2가 836
1521,송정동,서울시 성동구 송정동 72-37
1522,송    일,서울시 성동구 송정동 73-1084
1523,송정동건영(아),서울시 성동구 송정동 90
1524,용답 1,서울시 성동구 용답동 19-8
1525,용답 2,서울시 성동구 용답동 83-5
1526,중앙하이츠(아),서울시 성동구 용답동 15 중앙하이츠(아)
1527,용답 3,서울시 성동구 용답동 135-19
1528,양마제2,서울시 광진구 군자동 342-10
1529,자양1동,서울시 광진구 자양동804-10
1530,자마장,서울시 광진구 자양동630-1
1531,청진경로당,서울시 종로구 청진동191-1
1532,삼각지,서울시 용산구 용산동 3가 1-6
1533,한강우람,서울시 용산구 한강2가 296-1
1534,이촌2동할머니,서울시 용산구 이촌동 395
1535,서빙고할아버지,서울시 용산구 서빙고동 195-10
1536,서빙고할머니,서울시 용산구 서빙고동 51
1537,보광종점,서울시 용산구 보광동 217-32
1538,우사단,서울시 용산구 보광동 265-545
1539,청파1,서울시 용산구 청파 1가 3-59
1540,원효로,서울시 용산구 원효로 3가 1-139
1541,보광제2,서울시 용산구 보광동 75-21
1542,신    계,서울시 용산구 원효로2가 77-10
1543,한마음,서울시 용산구 용산동 5가 2-4
1544,조    양,서울시 용산구 이태원동 392-4
1545,세    방,서울시 용산구 신창동 102
1546,한가람,서울시 용산구 이촌동 301-16 
1547,무     학,서울시 성동구 하왕십리동 987-124
1548,일     심,서울시 성동구 하왕십리동 989-49
1549,한신무학(아),서울시 성동구 하왕십리동 990
1550,무학현대(아),서울시 성동구 하왕십리동 992
1551,왕십리제2,서울시 성동구 하왕십리동 1015-11
1552,한진(아)제1,서울시 성동구 행당동 328-1
1553,건영,서울시  목2동928
1554,유    정,서울시 성동구 옥수동100 옥수하이츠@
1555,강변동양(아),서울시 성동구 성수동1가 479-1
1556,한양현대(아),서울시 성동구 성수동1가 707
1557,성    원,서울시 성동구 성수동1가 13-21
1558,구의2동,서울시 광진구 구의동64-31
1559,신트리아파트1단지,서울시 양천구 신3정동1259
1560,학마을2아파트2단지,서울시 양천구 신정3동1294
1561,신트리아파트3단지,서울시 양천구 신정3동1276
1562,푸른마을1단지,서울시 양천구 신정3동1282
1563,학마을아파트1단지,서울시 양천구 신정3동1293
1564,신정동e편한세상,서울시 양천구 신정3동1303
1565,학마을아파트3단지,서울시 양천구 신정3동1291
1566,신정대성유니드2차아파트경로당,서울시 양천구 신정3동1198-3
1567,동일하이빌,서울시 양천구 신정3동1310
1568,은 행 정,서울시 양천구 신정동962-18
1569,양 동,서울시 양천구 신정동937-4
1570,신정5동 제2구립,서울시 양천구 신정동882-11
1571,8단지경로당,서울시 양천구 신정6동314
1572,13단지경로당,서울시 양천구 신정6동328
1573,칼 산,서울시 양천구 신정동330-13
1574,11단지,서울시 양천구 신정7동325
1575,12단지,서울시 양천구 신정7동326
1576,양 천 아 파 트,서울시 양천구 신정동276
1577,우성2단지,서울시 양천구 신정7동337-2
1578,우성3차,서울시 양천구 신정7동338
1579,염창 강변,서울시 강서구 염창동 114-2
1580,염창우성2차 (아),서울시 강서구 염창동 287-1
1581,답동경로당,서울시 서대문구 홍은2동 197-5
1582,정원단지경로당,서울시 서대문구 홍은2동 265-159
1583,남가좌2동분회경로당,서울시 서대문구 남가좌2동 346-19
1584,가좌상록경로당(현대임대A),서울시 서대문구 남가좌2동 376-2
1585,가좌울경로당(삼성임대A),서울시 서대문구 남가좌2동 377-1
1586,남가좌쌍용A경로당,서울시 서대문구 남가좌2동 380
1587,공덕 1동,서울시 마포구 공덕동 29-4
1588,연  봉,서울시 마포구 공덕동 4-86
1589,공덕2삼성래미안(아),서울시 마포구  공덕동 43
1590,신 공 덕 ,서울시 마포구 도화동 2-27
1591,신공덕삼성(아)제2,서울시 마포구  신공덕동 157
1592,신공덕2삼성래미안,서울시 마포구 신공덕동 159
1593,신공덕삼성3차(아),서울시 마포구  신공덕동 161
1594,삼성@(1차),서울시 마포구 신공덕동 155
1595,아현 2동  ,서울시 마포구  아현동 666-2
1596,감    골,서울시 마포구  아현동 625-5
1597,행    화,서울시 마포구  아현동 625-98
1598,공덕2동제1,서울시 마포구 공덕동 232-10
1599,노 고 산,서울시 마포구  노고산동 12-66
1600,염리삼성래미안 ,서울시 마포구  염리동 520
1601,염리삼성제2경로당,서울시 마포구  염리동 519
1602,염산은빛,서울시 마포구 염리동 14-18
1603,신    수,서울시 마포구  신수동 252-1
1604,현    대,서울시 마포구  신수동 445-5
1605,성    원,서울시 마포구  신수동 190
1606,신촌삼익(아),서울시 마포구  신수동 450
1607,대원칸타빌@,서울시 마포구 신수동 453
1608,서강엘지,서울시 마포구 신정동 30
1609,마포삼성,서울시 마포구  창전동 437
1610,신    정,서울시 마포구 상수동 108-9
1611,농 바 우,서울시 마포구  상수동 327-10
1612,두산위브,서울시 마포구 상수동 396
1613,신    교,서울시 마포구  서교동 451-1 지층2호
1614,동 교 동,서울시 마포구 동교동 147-1
1615,합 정 동,서울시 마포구  합정동 385-99
1616,희    우,서울시 마포구  합정동 432-15
1617,은천데이케어센터,서울시 동대문구 서울시 장안동304-8
1618,한신(아)경로당,서울시 강남구  일원동 615-1
1619,효원노인복지센터,서울시 중랑구 서울시 중랑구 상봉동 202) 1
1620,덕수데이케어센터,서울시 성북구 서울시 성북동 252-2
1621,성북노인종합복지관 병설성북데이케어센터,서울시 성북구 서울시 종암동 66-25
1622,효인,서울시 도봉구 서울시 도봉구 도봉동 623-131
1623,공릉데이케어센터,서울시 노원구 서울시 공릉동 708번지
1624,노원 1데이케어센터,서울시노원구 월계동 321번지 사슴 1단지 노원1종합사회복지관내
1625,갈현데이케어센터,서울시 은평구 서울시 은평구 갈현동 415-2
1626,성내데이케어센터,서울시강동구 성내2동 508-1 성내종합사회복지관
1627,송파버들데이케어센터,서울시송파구 장지동 850-2
1628,하얀목련주간보호센터,서울시 서대문구 서울시 남가좌동 326-30
1629,송파데이케어센터,서울시송파구 삼전동 172-2(송파노인복지관)
1630,역삼행복세상데이케어센터,서울시강남구 역삼동 760-3
1631,한마음데이케어센터,서울시강남구 논현2동 80-11
1632,강남데이케어센터,서울시강남구 삼성동 66번지(강남노인복지관)
1633,서초데이케어센터,서울시서초구 양재동 7-44(양재노인종합복지관)
1634,푸른햇살데이케어센터,서울시관악구 난향동 665-1(신림종합사회복지관)
1635,관악데이케어센터,서울시관악구 봉천1동 726-3(관악노인종합복지관)
1636,상도데이케어센터,서울시동작구 상도1동 456
1637,성심의집데이케어센터,서울시동작구 상도2동 159-330번지
1638,영등포데이케어센터,서울시영등포구 양평동3가 36번지
1639,강동요양치료센터,서울시강동구 길동 147
1640,민영요양센터,서울시강북구 송천동 703
1641,열방종합노인복지센터,서울시강북구 번동 267
1642,성모시니어스케어,서울시강서구 화곡동161-30
1643,천사노인요양원,서울시강서구 화곡3동 1010
1644,시니어스하우스,서울시강서구 화곡동 152-11
1645,시니어스 너싱홈,서울시강서구 등촌동 637
1646,봄날실버센터,서울시강서구 방화2동 592-23
1647,선의노인요양센터,서울시관악구 봉천동 1699-6
1648,자곡동경로당,서울시 강남구  자곡동 447 - 14
1649,실버밸리요양원,서울시금천구 가산동 150-2
1650,실버밸리노인복지센터,서울시금천구 가산동 150-2 신평대일타운 7층
1651,실버캐슬그룹홈,서울시금천구 독산동 149-51 삼미빌딩6층
1652,실버캐슬요양원,서울시금천구 독산동 149-51 삼미빌딩2층
1653,실버캐슬요양센터,서울시금천구 시흥동 890-4 대의빌딩6층
1654,하계실버센터,서울시노원구 하계2동 357
1655,예은노인복지요양원,서울시노원구 상계동 1293 불임현대(아)103-1001
1656,노원너싱홈,서울시노원구 상계동 434-49 우림빌딩 3층
1657,노원실버홈,서울시노원구 상계동 434-49 우림빌딩 2층
1658,방학노인요양공동생활가정,서울시도봉구 방학2동 393-5
1659,엘림데이케어센터,서울시영등포구 문래동3가 76-2
1660,백로,서울시 동작구 노량진2동 314-6
1661,백송,서울시 동작구 노량진2동 273-19
1662,상도1동,서울시 동작구 상도1동 159-282
1663,중앙하이츠@,서울시 동작구 상도1동 415
1664,터널,서울시 동작구 상도1동 535
1665,상도 SH-Ville@,서울시 동작구 상도1동 430
1666,청송,서울시 동작구 상도1동 134-187
1667,상도5동,서울시 동작구 상도1동 438
1668,대림@,서울시 동작구 상도1동 411
1669,현대@,서울시 동작구 상도1동 412
1670,래미안상도2차@,서울시 동작구 상도1동 421
1671,삼호@,서울시 동작구 상도1동 408
1672,래미안상도3차@,서울시 동작구 상도1동 431
1673,삼환나우빌@,서울시 동작구 상도1동 520
1674,상도동 살피재 경로당,서울시 nan 상도1동 126-8
1675,상도한마음,서울시 동작구 본동 산 11-1
1676,상도2동,서울시 동작구 상도2동 159-330
1677,낙원,서울시 동작구 상도2동 28-24
1678,장수,서울시 동작구 상도2동 200-52
1679,대림@,서울시 동작구 상도2동 36-1
1680,건영@,서울시 동작구 상도2동 414
1681,대림(아)경로당,서울시 강남구  도곡동 960
1682,삼성래미안(아)경로당,서울시 강남구 도곡동 91 - 5  삼성래미안아파트 상가2동
1683,삼익(아)경로당,서울시 강남구  청담동 134 - 18
1684,상록수(아)경로당,서울시 강남구  일원동 734
1685,역삼제3경로당,서울시 강남구  역삼동 828 - 11 개나리빌라 201호
1686,대림(아),서울시 서초구 잠원57
1687,롯데캐슬갤럭시,서울시 서초구 잠원50-1
1688,롯데캐슬갤럭시1차,서울시 서초구 잠원50-1
1689,삼호가든3차(아),서울시 서초구 반포32-8
1690,신반포5차(아),서울시 서초구 잠원64-8
1691,샘터마을(아)경로당,서울시 강남구  일원동 718
1692,서광,서울시 강남구  삼성동 2 서광아파트
1693,영동경로당,서울시 강남구  논현동 263 - 23
1694,우성7차(아)경로당,서울시 강남구  일원동 615
1695,증미,서울시  염창동 241-15
1696,진흥(아)경로당,서울시 강남구  청담동 65
1697,청담경로당,서울시 강남구  청담동 94 - 4
1698,청담삼성1차(아)경로당,서울시 강남구  청담동 33
1699,청솔빌리지경로당,서울시 강남구  일원동 739
1700,청수경로당,서울시 강남구  청담동 112 - 26
1701,청실(아)경로당,서울시 강남구  대치동 633
1702,푸른마을(아)경로당,서울시 강남구  일원동 719
1703,풍림(아)경로당,서울시 강남구  삼성동 106
1704,학수정경로당,서울시 강남구  신사동 544 - 29
1705,한솔(아)경로당,서울시 강남구  일원동 731
1706,한아름(아)경로당,서울시 강남구  수서동 712
1707,한티경로당,서울시 강남구  대치동 899 - 25
1708,현대(아)경로당,서울시 강남구  압구정동 458
1709,현대1차(아)경로당,서울시 강남구  개포동 653 - 10
1710,현대2차(아)경로당,서울시 강남구  개포동 654
1711,홍실(아)경로당,서울시 강남구  삼성동 79
1712,풍납제1,서울시 송파구 풍납1동493-17
1713,염창극동 (아),서울시 강서구 염창동 246-23
1714,삼정그린코아 (아),서울시 강서구 염창동 282
1715,강변현대홈타운(아),서울시 강서구 염창동 299
1716,중곡4동,서울시 광진구 중곡동71-2
1717,노 유 산,서울시 광진구 자양동835-1
1718,자양3동,서울시 광진구 자양동582-19
1719,광    장,서울시 광진구 광장동242-1
1720,자양제1,서울시 광진구 자양동651-50
1721,중곡1동,서울시 광진구 중곡동232-44
1722,군    자,서울시 광진구 군자동115-1
1723,자양4동제2경로당,서울시 광진구 자양동205-6
1724,자양4동제1경로당,서울시 광진구 자양동236-179
1725,구의새마을,서울시 광진구 구의동590-2
1726,화양동,서울시 광진구 화양동122
1727,한마음,서울시 광진구 중곡동51-27
1728,아 차 산,서울시 광진구 구의동50-20
1729,광장제2,서울시 광진구 광장동104
1730,용    마,서울시 광진구 중곡동169-81
1731,자양4동제3경로당,서울시 광진구 자양동244-1
1732,모진동,서울시 광진구 모진동131-5
1733,중    앙,서울시 광진구 자양동615-28
1734,자양제2,서울시 광진구 자양동684-20
1735,구    의,서울시 광진구 구의동230-4
1736,양    마,서울시 광진구 군자동340
1737,시립도봉노인종합복지관,서울시도봉구 쌍문2동19-12
1738,시립은평노인종합복지관,서울시은평구 진관동 203-1
1739,강남노인종합복지관,서울시강남구 삼성동 66
1740,시립광진노인종합복지관,서울시광진구 군자동 364-15
1741,부모섬김노인요양원,서울시성북구 하월 곡동77-221 로만프라자3층
1742,우민늘푸른(아),서울시 구로구 구로3동1279
1743,희원노인간호센터,서울시마포구 동교동 172-13 1층
1744,강    촌,서울시 용산구 이촌동 403
1745,일심할머니,서울시 성동구 하왕십리동 971-7
1746,제     일,서울시 성동구 하왕십리동 890-981층 103호
1747,안     정,서울시 성동구 하왕십리동 1032-17
1748,하왕극동미라주(아),서울시 성동구 하왕십리동 1058
1749,극동미라주(아)제2,서울시 성동구 하왕십리동 1057
1750,청계벽산(아),서울시 성동구 하왕십리동 258
1751,청계벽산(아)홍익동,서울시 성동구 홍익동 1
1752,청계대주(아),서울시 성동구 홍익동 53(청계대주파크빌)
1753,구립마장동제2,서울시 성동구 마장동 780-1
1754,마장제6,서울시 성동구 마장동 377-2
1755,삼성(아),서울시 성동구 마장동 817
1756,금호어울림(아),서울시 성동구 마장동 820
1757,구립사근제2,서울시 성동구 사근동 282-8
1758,행당제1,서울시 성동구 행당동 105-6
1759,진펄리,서울시 성동구 행당동 128-7
1760,삼부(아),서울시 성동구 행당동 147
1761,행당동한신(아),서울시 성동구 행당동 349
1762,행당한신제2(아),서울시 nan 행당동 한신@ 201동105호
1763,행당제2,서울시 성동구 행당동 306-24스위스빌라 302호
1764,신동아(아),서울시 성동구 행당동 342-81
1765,행당대림(아)제1,서울시 성동구 행당동 317-40
1766,대림1차(아),서울시 성동구 응봉동 100
1767,대림강변타운(아),서울시 성동구 응봉동 15
1768,신동아(아),서울시 성동구 응봉동 275
1769,금    난,서울시 성동구 금호동1가 1568-3
1770,대주아파트,서울시 마포구 망원1동 499
1771,금    성,서울시 마포구  망원1동 236-2
1772,오    칠,서울시 마포구 망원1동 57-140
1773,미    원,서울시 마포구  망원2동 433-9
1774,망원2차대림아,서울시 마포구 망원2동 497
1775,연 남 동,서울시 마포구  연남동 373-20
1776,구로한일유엔아이(아),서울시 구로구 구로1동1281
1777,구로2동,서울시 구로구 구로2동339-66
1778,장수,서울시 구로구 구로2동720-11
1779,화원,서울시 구로구 구로2동478-1
1780,늘푸른,서울시 구로구 구로2동494-20
1781,문화,서울시 구로구 구로2동600-2
1782,보광 (아),서울시 구로구 구로2동440
1783,월드진영(아),서울시 구로구 구로2동1262
1784,중앙하이츠(아),서울시 구로구 구로2동1269
1785,우리유앤미(아),서울시 구로구 구로2동481-1
1786,뉴홍현(아),서울시 구로구 구로2동1270
1787,구로3동,서울시 구로구 구로3동771-1
1788,문성골,서울시 구로구 구로3동1129-6
1789,영서(아),서울시 구로구 구로3동1256
1790,이화우성(아),서울시 구로구 구로3동1260
1791,삼성래미안(아),서울시 구로구 구로3동256-1
1792,신성미소지움(아),서울시 구로구 구로3동1274
1793,두산위브(아),서울시 구로구 구로3동1278
1794,한신휴플러스(아),서울시 구로구 구로3공1280
1795,구로4동복지관,서울시 구로구 구로4동751-14
1796,구로4동 구,서울시 구로구 구로4동745-14
1797,구로두산(아),서울시 구로구 구로4동756
1798, 두산임대(아),서울시 구로구 구로4동1266
1799,우성 (아),서울시 구로구 구로4동120
1800,극동 (아),서울시 구로구 구로4동314
1801,홍은1동분회경로당,서울시 서대문구 홍은1동 48-20
1802,포방터경로당,서울시 서대문구 홍은1동 11-102
1803,유원A경로당,서울시 서대문구 홍은1동 22
1804,남가좌1동분회경로당,서울시 서대문구 남가좌1동 104-11
1805,남이마을경로당,서울시 서대문구 남가좌2동 368
1806,현대A경로당,서울시 서대문구 남가좌2동 200
1807,남가좌삼성A경로당,서울시 서대문구 남가좌2동 377
1808,은가경로당(북2분회),서울시 서대문구 북가좌2동 5-106
1809,삼호A경로당,서울시 서대문구 북가좌2동 449
1810,도화현대(A),서울시 마포구 도화동 357
1811,소 양(A),서울시 마포구 도화동 547
1812,홍    문,서울시 마포구  도화동274
1813,우성APT,서울시 마포구  도화동 83
1814,현대홈타운,서울시 마포구  도화동 353
1815,현대홈타운(임대),서울시 마포구  도화동 353-1
1816,쌍용황금,서울시 마포구  마포동 253
1817,삼 개,서울시 nan 도화동 188
1818,대흥중앙,서울시 마포구  대흥동 34-19
1819,동    막,서울시 마포구  신수동 85-66(철)
1820,송    암,서울시 마포구  염리동 36-249
1821,강변현대홈타운@,서울시 마포구 현석동 222
1822,마포경남아너스빌,서울시 마포구 신수동 456
1823,창전동,서울시 마포구  창전동 447 공공청사 1층
1824,삼 성(A)제2단지,서울시 마포구  창전동 437-1
1825,신촌금호(아),서울시 마포구  창전동 438
1826,신촌태영데시앙@,서울시 마포구 창전동439
1827,상    수,서울시 마포구  상수동 123-1
1828,성동데이케어센터,서울시성동구 마장동 798-17
1829,광진노인데이케어센터,서울시 광진구 서울시 광진구 자양동 678번지
1830,배봉노인주간보호센터,서울시 중랑구 서울시 중랑구 신내동 660
1831,중랑노인주간보호센터,서울시 중랑구 서울시 중랑구 면목동 178-8
1832,길음데이케어센터,서울시 성북구 서울시 길음동 905
1833,장위노인복지센터,서울시 성북구 서울시 장위동 238-19
1834,효심노인복지센터,서울시 강북구 서울시 강북구 수유1동 482-65  5층
1835,e-포근한 노인센터,서울시 강북구 서울시  강북구 미아동 189-6
1836,강북데이케어센터,서울시 강북구 서울시 강북구 수유5동 122
1837,방아골데이케어센터,서울시 도봉구 서울시 도봉구 방학2동 369-19
1838,도봉노인종합복지관병설도봉데이케어센터,서울시 도봉구 서울시 도봉구 쌍문2동 19-12
1839,한국봉사회중계노인주간보호소,서울시 노원구 서울시 중계동 358번지
1840,금호대우(아),서울시 성동구 금호동4가 800
1841,역촌데이케어센터,서울시 은평구 서울시 은평구 역촌동 67-9
1842,강동데이케어센터,서울시강동구 명일2동 48-10(강동노인종합복지관)
1843,연꽃마을데이케어센터,서울시송파구 송파동 13-15
1844,풍납데이케어센터,서울시송파구 풍납2동 330-1
1845,등촌임광 (아),서울시 강서구 등촌2동 652-5
1846,희원노인간호센터,서울시 마포구 서울시 마포구 동교동 172-13
1847,명화데이케어센터,서울시강남구 광평로 북21길 49번지
1848,역삼데이케어센터,서울시강남구 도곡로 북22길 27(역삼노인복지센터)
1849,은빛마을데이케어센터,서울시서초구 잠원동 60-5 복지관내 2층
1850,강서노인주간보호센터,서울시 강서구 서울시 강서구 가양2동 1481 가양5복지관내
1851,가톨릭서울형데이케어센터(신림성모성당),서울시관악구 신림동 1417-1
1852,가톨릭서울형데이케어센터(행운동),서울시관악구 행운동 1682-6
1853,남부주야간데이케어센터,서울시관악구 신사동 469-30
1854,우리집데이케어센터,서울시영등포구 대림1동 864-32 대성빌딩 3층
1855,엘림데이케어센터,서울시영등포구 문래동3가 76-2
1856,영등포데이케어센터,서울시영등포구 문래동3가 76-2(영등포노인종합복지관)
1857,청담데이케어센터,서울시금천구 시흥2동 241-7 복지관내 2층
1858,효노인요양공동생활가정,서울시강북구 번3동 309 덕수빌딩2층
1859,호선실버센터,서울시강서구 내발산동 산55-2
1860,한내데이케어센터,서울시강북구 시흥동 886-9
1861,주사랑노인종합복지센터,서울시노원구 월계동 409-10
1862,은빛샘요양원,서울시노원구 상계동 389-356
1863,행복데이케어센터,서울시노원구 상계동 434-49
1864,시립중계노인복지관,서울시노원구 중계동 501-1
1865,행복한 집,서울시강서구 개화동 477-20
1866,초원의 집,서울시강서구 화곡동 924-6
1867,천사노인요양센터,서울시강서구 화곡동 1010
1868,천사노인전문요양원,서울시강서구 화곡3동 1010
1869,한마음요양원,서울시강서구 화곡동 24-571 6층
1870,훼미피아실버그룹홈,서울시강서구 방화동 645-40
1871,장수복지센터,서울시서대문구 북가좌동 335-9
1872,한마음소규모요양원,서울시강서구 화곡본동 58-11
1873,한화꿈에그린(아),서울시 강서구 염창동 281-22
1874,염창2차한화꿈에그린(아),서울시 강서구 염창동 302
1875,등     서,서울시 강서구 등촌1동 639-2
1876,태     영 (아),서울시 강서구 등촌1동 632-2
1877,코 오 롱 (아),서울시 강서구 등촌1동 642
1878,서     광 (아),서울시 강서구 등촌1동 638
1879,대동황토방 (아),서울시 강서구 등촌1동 631-9
1880,등촌현대 (아),서울시 강서구 등촌1동 655-27
1881,보람 2차 (아),서울시 강서구 등촌1동 640
1882,신   원 (아),서울시 강서구 등촌1동 641
1883,대동황토방2차(아),서울시 강서구 등촌1동 713
1884,코오롱3차(아),서울시 강서구 등촌1동 714
1885,등촌동코오롱2차(아),서울시 강서구 등촌1동 712
1886,능     안,서울시 강서구 등촌2동 517-1
1887,두보(하이츠)빌라,서울시 강서구 등촌2동 515-44
1888,태진아름 (아),서울시 강서구 등촌2동 677
1889,한남하이츠(아),서울시 성동구 옥수동 220-1
1890,등촌동 대림 (아),서울시 강서구 등촌2동 561-1
1891,등촌I-Park(아),서울시 강서구 등촌2동 715
1892,삼형그레이스빌(아),서울시 강서구 등촌2동 564-
1893,등촌주공1단지,서울시 강서구 등촌3동 687
1894,미주진로 (아),서울시 강서구 등촌3동 701
1895,부     영 (아),서울시 강서구 등촌3동 691-3
1896,등촌 7단지 (등촌7복지관),서울시 강서구 등촌3동 707
1897,등촌9종합사회복지관(푸른),서울시 강서구 등촌3동 704
1898,등촌4단지(아),서울시 강서구 등촌3동 690
1899,주공8단지 (아),서울시 강서구 등촌3동 707
1900,등촌5단지 (아),서울시 강서구 등촌3동 695
1901,등촌6단지 (아),서울시 강서구 등촌3동 705
1902,송    백,서울시 마포구 망원1동 496
1903,상암월드컵파크1단지,서울시 마포구 상암동2공구1단지
1904,상암월드컵파크2단지,서울시상암동2공구 2단지
1905,상암월드컵파크3단지,서울시상암동2공구 3단지
1906,상암월드컵파크4단지,서울시상암동3공구 4단지
1907,상암월드컵파크5단지,서울시상암동3공구 5단지
1908,상암월드컵파크6단지,서울시상암동3공구 6단지
1909,상암월드컵파크7단지,서울시상암동3공구 7단지
1910,상암월드컵파크8단지,서울시상암동3공구 8단지
1911,목1동 구립,서울시 양천구 목1동405-233
1912,삼 익 아 파 트,서울시 양천구 목동933
1913,오 목,서울시 양천구 목동406-317
1914,목동아파트7단지,서울시 양천구 목동925
1915,대 림 아 파 트,서울시 양천구 목동405-21
1916,목동현대아파트,서울시 양천구 목동930
1917,만 수,서울시 양천구 목동931
1918,목동금호 제1차㉵,서울시 양천구 목1동934
1919,목동현대1차㉵,서울시 양천구 목동932
1920,목동현대아이파크㉵,서울시 양천구 목동940
1921,현대하이페리온,서울시 양천구 목1동916
1922,용 왕,서울시 양천구 목동517-22
1923,새 말,서울시 양천구 목동230-32
1924,월 촌,서울시 양천구 목동545-23
1925,건 영 아 파 트,서울시 양천구 목동928
1926,한 두,서울시 양천구 목동611-1
1927,금 호 아 파 트,서울시 양천구 목동768-5
1928,금호노우회,서울시 성동구 금호동1가 168-147
1929,금호벽산(아)제2,서울시 성동구 금호동1가 632
1930,금호삼성래미안(아),서울시 성동구 금호동1가 1500
1931,효사랑,서울시 성동구 금호동1가 1818 두산위브(아)
1932,금호2가,서울시 성동구 금호동2가 산9-1
1933,새 마 을,서울시 성동구 금호동3가 산2-1
1934,금호3가,서울시 성동구 금호동3가 451
1935,금호대우제2(아),서울시 성동구 금호동4가 801
1936,서울숲푸르지오(아),서울시 성동구 금호동4가 340
1937,옥수제일,서울시 성동구 옥수동 514-18
1938,성    심,서울시 nan 옥수동 542-3
1939,옥수하이츠(아),서울시 성동구 옥수동100 옥수하이츠@
1940,옥    향,서울시 성동구 옥수동 250-5 삼성@
1941,한림정,서울시 성동구 옥수동 250 삼성@
1942,성수1가1동,서울시 성동구 성수동1가 271-2
1943,상    원,서울시 성동구 성수동1가 656-1740
1944,경    마,서울시 성동구 성수동1가 685-40
1945,성수쌍용(아),서울시 성동구 성수동1가 706
1946,동아그린(아),서울시 성동구 성수동1가 708
1947,성수2가1,서울시 성동구 성수동2가 744-1
1948,신안1차아파트 경로당,서울시 중랑구 묵1동 381
1949,건영3차아파트경로당,서울시 노원구 중계동 360-15
1950,양지대림2차아파트경로당,서울시 노원구 중계동 588
1951,중계신안아파트경로당,서울시 노원구 중계동 590
1952,중계우성3차아파트경로당,서울시 노원구 중계동 585
1953,팔각정경로당,서울시 노원구 중계동 507-3 (중계근린공원내)
1954,경남아파트경로당,서울시 노원구 중계동 505
1955,상아아파트경로당,서울시 노원구 중계동 505
1956,롯데아파트경로당,서울시 노원구 중계동 505
1957,건영2차아파트경로당,서울시 노원구 중계동 515-2
