학교종류명,도로명우편번호,도로명주소,위도,경도
서울왕북초등학교,6353,서울특별시 강남구 광평로31길 74,37.48632828,127.0860547
서울영희초등학교,6338,서울특별시 강남구 일원로 21,37.4923004,127.0811328
서울역삼초등학교,6251,서울특별시 강남구 강남대로66길 21,37.49316124,127.0326028
서울언주초등학교,6268,서울특별시 강남구 남부순환로363길 19,37.486322,127.036793
서울언북초등학교,6066,서울특별시 강남구 삼성로135길 42,37.52012517,127.0447158
서울언남초등학교,6800,서울특별시 서초구 헌릉로8길 42,37.45411333,127.0614366
서울양전초등학교,6328,서울특별시 강남구 개포로 513,37.49028284,127.0694253
서울양재초등학교,6755,서울특별시 서초구 바우뫼로18길 14,37.47416538,127.0318925
서울압구정초등학교,6004,서울특별시 강남구 압구정로39길 29,37.53173911,127.0308417
서울신중초등학교,6712,서울특별시 서초구 남부순환로317길 15,37.48015788,127.0093433
서울신동초등학교,6517,서울특별시 서초구 나루터로 15,37.51713004,127.0113904
서울신구초등학교,6029,서울특별시 강남구 압구정로18길 28,37.52336057,127.0239924
서울수서초등학교,6348,서울특별시 강남구 광평로51길 46,37.49115148,127.1015822
서울서초초등학교,6613,서울특별시 서초구 서운로 178,37.49904877,127.0248915
서울서일초등학교,6723,서울특별시 서초구 남부순환로339길 38,37.48529778,127.0221598
서울서이초등학교,6630,서울특별시 서초구 서운로 35,37.49156467,127.025618
서울서원초등학교,6598,서울특별시 서초구 고무래로 63,37.5024389,127.0146195
서울서래초등학교,6574,서울특별시 서초구 방배로 260,37.496404,126.9901565
서울삼릉초등학교,6097,서울특별시 강남구 봉은사로63길 22,37.51325992,127.0469495
서울봉은초등학교,6078,서울특별시 강남구 학동로 610,37.52008269,127.0609329
서울방현초등학교,6700,서울특별시 서초구 효령로4길 58,37.47650298,126.9900734
서울방일초등학교,6663,서울특별시 서초구 방배로18길 52,37.4852056,126.998849
서울방배초등학교,6570,서울특별시 서초구 방배중앙로13길 26,37.4867641,126.987138
서울반포초등학교,6502,서울특별시 서초구 신반포로 55-4,37.50248483,126.9917416
서울반원초등학교,6510,서울특별시 서초구 잠원로3길 28,37.510312,127.0040022
서울매헌초등학교,6780,서울특별시 서초구 언남길 8,37.47126248,127.0420579
서울도성초등학교,6213,서울특별시 강남구 역삼로 313,37.50146201,127.0488722
서울도곡초등학교,6205,서울특별시 강남구 선릉로64길 33,37.49951141,127.0544655
서울대현초등학교,6187,서울특별시 강남구 역삼로98길 16,37.50372159,127.0635654
서울대치초등학교,6291,서울특별시 강남구 양재천로 363,37.49127807,127.0621964
서울대청초등학교,6341,서울특별시 강남구 양재대로55길 28,37.4931481,127.0877673
서울대진초등학교,6334,서울특별시 강남구 개포로109길 74,37.49701211,127.0780803
서울대왕초등학교,6365,서울특별시 강남구 헌릉로618길 8,37.46462117,127.1055912
서울대모초등학교,6363,서울특별시 강남구 광평로20길 27,37.48059845,127.0859938
서울대도초등학교,6277,서울특별시 강남구 선릉로 209,37.4926466,127.0533774
서울대곡초등학교,6288,서울특별시 강남구 남부순환로 3022,37.49471064,127.0650265
서울논현초등학교,6119,서울특별시 강남구 강남대로120길 33,37.50848958,127.0262229
서울구룡초등학교,6305,서울특별시 강남구 개포로 263,37.48119739,127.0517714
서울개포초등학교,6331,서울특별시 강남구 영동대로3길 45,37.48678543,127.070476
서울개일초등학교,6323,서울특별시 강남구 개포로 401,37.48621414,127.0577406
서울개원초등학교,6321,서울특별시 강남구 선릉로 29,37.48161842,127.0587363
계성초등학교,6504,서울특별시 서초구 신반포로19길 23,37.5049159,126.9968257
서울교육대학교부설초등학교,6639,서울특별시 서초구 서초중앙로 96,37.49074049,127.0154245
유석초등학교,7576,서울특별시 강서구 화곡로69길 9,37.56080181,126.8537794
서울신은초등학교,8049,서울특별시 양천구 신정이펜2로 30,37.51391281,126.8321696
서울화일초등학교,7725,서울특별시 강서구 까치산로10길 70,37.54071203,126.8474708
서울화곡초등학교,7722,서울특별시 강서구 초록마을로 28,37.54366962,126.8464717
서울탑산초등학교,7525,서울특별시 강서구 허준로 109,37.56701719,126.8523683
서울치현초등학교,7514,서울특별시 강서구 방화대로47길 43,37.57591915,126.8146456
서울지향초등학교,8053,서울특별시 양천구 신정로11길 74,37.51283768,126.8370238
서울정목초등학교,7961,서울특별시 양천구 목동중앙로3길 30-10,37.53652885,126.8700491
서울정곡초등학교,7518,서울특별시 강서구 방화대로50길 22,37.5769597,126.8189328
서울장수초등학교,8080,서울특별시 양천구 신정로13가길 30,37.5129972,126.8451597
